Event,Platform,User,Comments,Likes,Date,Sentiment,Emotion,Most Common Keyword
State of Play,Youtube,@osg1017,You know the game is garbage when you think you have to show a 4 minute cinematic trailer to sell a 5v5 game.,18,2 weeks ago,Positive,Happy,
State of Play,Youtube,@rhog45,Can't lie i had the biggest smile on my face watching Astro Bot,294,2 weeks ago,Positive,Happy,Astro
State of Play,Youtube,@matheusbranco6441,"Astro Bot was one of the best one ngl, better than ""concord"". I need more games like Astro Bot",38,2 weeks ago,Positive,Happy,
State of Play,Youtube,@chisaten,10:46 timestamp to skip all the Concord talk.,11,2 weeks ago,Positive,Happy,
State of Play,Youtube,@nickhoffman9256,Wow that concord trailer is the most misleading trailer I've seen in years.,646,2 weeks ago,Positive,Surprise,Concord
State of Play,Youtube,@aydogduemre,The world doesn't need more multiplayer FPS games.,1,2 weeks ago,Negative,Angry,
State of Play,Youtube,@jub8891,Astrobot was the best thing about this video,27,2 weeks ago,Positive,Happy,Sony
State of Play,Youtube,@timohlsson3099,Talking about a 5v5 game for 10 minutes after showing a cinematic that tricked us to belivie it was a great singleplayer/co-op game like guardians of the galaxy. And then the rest of the games get like 1-2 minute each.,11,2 weeks ago,Positive,Happy,Astro
State of Play,Youtube,@surfsideskitty,Y’all spent an unnecessary amount of time promoting Concord.,15,2 weeks ago,Negative,Fear,Concord
State of Play,Youtube,@basicallyanon,"Anytime someone mentions 5v5, live service or battle pass, it's already a bad sign",607,2 weeks ago,Negative,Fear,5v5
State of Play,Youtube,@KlisrColi,The gaming business needs a radical makeover.,57,2 weeks ago,Negative,Fear,
State of Play,Youtube,@mauortega3749,Can't wait for that Astro Bot game. Team Asobi is doing such a great work with this franchise.,14,10 days ago,Positive,Happy,
State of Play,Youtube,@GavinAeilts,Astrobot actually stole the show... and sony even knew it would...,26,2 weeks ago,Positive,Surprise,Disappointing
State of Play,Youtube,@gatsnguts,"The gaming industry condensed in one video: soulslikes, games as a service, remakes, ports.",353,2 weeks ago,Positive,Happy,Xbox
State of Play,Youtube,@sil5429,The fact that the PS5 has LESS exclusives than the Virtual Boy is laughable,513,3 days ago,Positive,Happy,Boring
State of Play,Youtube,@OtterloopB,"Nintendo royally schooled you today, Sony.",30,1 day ago,Positive,Happy,Astro
State of Play,Youtube,@ginog93,No more online multiplayer live service games please. We don’t want that.,3,2 weeks ago,Positive,Happy,Concord
State of Play,Youtube,@amano_s9159,"Ok, Sony. Enough playing around. Where is the real State of Play?",2,2 weeks ago,Negative,Sad,Playstation
State of Play,Youtube,@johanliebert1027,"Companies doing their own separate trailer drops does not get me hyped at all. Why could not Sony wait another week and participate in Summer Game Fest? All coming together for a giant audience and a live show is so much more exciting than ""oh another trailer on youtube I will watch alone whenever I feel like it""",954,2 weeks ago,Positive,Surprise,Playstation
State of Play,Youtube,@joshuawillard9813,"Every time I see a game with an early Beta release, all I hear is ""Let's outsource QA to the consumer so we don't have to pay for it.""",5,2 weeks ago,Negative,Sad,State Of Play
State of Play,Youtube,@dogfacezab5964,A 10 second countdown for a 30 second countdown is insane,5,2 weeks ago,Positive,Surprise,
State of Play,Youtube,@markmills4980,"my expectations were low, and i am still disappointed",558,2 weeks ago,Negative,Sad,
State of Play,Youtube,@RtoioBnoiy,When will Sony show us actual games?,332,2 weeks ago,Positive,Happy,Microsoft
State of Play,Youtube,@crazyrage8225,Astro bot looks hella fun,8,2 weeks ago,Positive,Happy,
State of Play,Youtube,@leviwuzere07,"""5v5 fps"" - basically, absolutely nothing like the cinematic trailer...",523,2 weeks ago,Negative,Fear,5v5
State of Play,Youtube,@blackknightrises8612,I feel sad that Astro Bot was the only real highlight for me ,517,2 weeks ago,Negative,Sad,vs
State of Play,Youtube,@samst5656,Wow another sad year for sony,33,2 weeks ago,Positive,Surprise,Sony
State of Play,Youtube,@FrayedACCL,Going from the xbox premieres comments to the state of plays comments is wild. How quickly things can switch up never ceases to surprise me.,6,9 days ago,Positive,Surprise,Game
State of Play,Youtube,@milkman1673,getting tired of cutscenes sounding like every marvel movie ... writers need to learn to write again,563,2 weeks ago,Positive,Surprise,Game
State of Play,Youtube,@iFluxyy,"Why does the common sentiment held by many studios nowadays seem to be ""we need more overwatch clones.""",135,2 weeks ago,Negative,Sad,Playstation
State of Play,Youtube,@EatinPaste,You know it's a dud when nobody timestamps a thing from the video.,4,2 weeks ago,Positive,Happy,Game
State of Play,Youtube,@kMyAbdulrahman,I really wish you would reboot sly cooper ,270,2 weeks ago,Positive,Happy,
State of Play,Youtube,@hossbonaventure,gaming industry needs a hard reset,225,2 weeks ago,Negative,Angry,
State of Play,Youtube,@CJ_Williams,"Concord went from ""cool world and design. I'm in"" to seeing a 5v5 arena shooter ""I'm hard out"".  This as a larger space faring coop heist adventure could be something.",15,2 weeks ago,Positive,Happy,
State of Play,Youtube,@HeroLloyd,My lil robot boy got the proper sequel he deserves ?,336,2 weeks ago,Positive,Happy,Astro
State of Play,Youtube,@TommyPhani,I come back here after finishing Xbox Showcase ,403,10 days ago,Positive,Happy,
State of Play,Youtube,@chopsuey004,Astrobot looks pretty sick. Gamers are tired of live service games.,4,2 weeks ago,Positive,Happy,Until Dawn
State of Play,Youtube,@djtomoy,Congratulations to all the developers featured for not being fired yet,1,2 weeks ago,Positive,Happy,State Of Play
State of Play,Youtube,@jackbrassil5318,Concord looks terrible,589,2 weeks ago,Negative,Fear,Astro
State of Play,Youtube,@zacharyrichardson6426,Why is every studio making an over watch clone? Who told them people want that?,3,2 weeks ago,Negative,Sad,Concord
State of Play,Youtube,@alexanderzin,Video starts at 32:00,446,2 weeks ago,Positive,Happy,Release
State of Play,Youtube,@10master31,I am just fed up with multiplayer games,314,2 weeks ago,Positive,Happy,Concord
State of Play,Youtube,@joshuathompson2404,"Dear Sony, the games-as-service model is not sustainable. We don't want 20 of them every announcement showcase. Can't you drop at least 1 or 2 quality single player experiences this gen? Tent pole experiences, like you used to be known for?",3,2 weeks ago,Negative,Angry,State Of Play
State of Play,Youtube,@alatan,I am 40. Only Astro Bot got me excited.,4,2 weeks ago,Negative,Sad,Game
State of Play,Youtube,@shirakenpsyop6843,"Monster Hunter was really the only one worth (coming from a huge Siletn Hill 2 fan). Indie games are hard carrying the industry right now, sheesh...",314,2 weeks ago,Positive,Surprise,Game
State of Play,Youtube,@comicsmisexplained,Where’d your Stars program go? It disappeared a week or two ago and no one has said a thing.,487,9 days ago,Positive,Happy,
State of Play,Youtube,@freddywright4239,"The concord crew looked like they would’ve had potential to grow as characters and have interesting stories, shame they’ll be stuck as quippy stereotypes in a hero shooter",4,2 weeks ago,Negative,Fear,Playstation
State of Play,Youtube,@LJ101,"Astro Bot stole the show, that's actually sad for the other games",1,2 weeks ago,Positive,Surprise,Playstation
State of Play,Youtube,@ashennyx8820,Montset hunter lookin sick!,9,2 weeks ago,Negative,Sad,Astro
State of Play,Youtube,@MadRetro00,"Were the free gunner crew of the North Star, and together were going to flop harder than Marvels Avengers",5,2 weeks ago,Positive,Happy,
State of Play,Youtube,@wayneswirl,This could have been an email energy,192,2 weeks ago,Positive,Happy,State Of Play
State of Play,Youtube,@arkham_inmate9935,Astrobot was literally the best game they showed,161,2 weeks ago,Positive,Happy,State Of Play
State of Play,Youtube, @brizwastakened             ,give us another littlebigplanet it’s been a decade ,412,2 weeks ago,Negative,Fear,LittleBigPlanet
State of Play,Youtube,@XxNuuruhuinexX,That black PS5 at the 33:40 mark looked real nice. Is that a new model or variant?,167,2 weeks ago,Positive,Happy,
State of Play,Youtube,@Jarrod0306,I want a new Infamous,4,3 weeks ago,Negative,Sad,Playstation
State of Play,Youtube,@cookingsauce8274,Alright bloodborne fans time to get our clown makeup ready,2,3 weeks ago,Positive,Happy,Concord
State of Play,Youtube,@PiMpiNx187,No games modern gaming at its finest,250,2 weeks ago,Positive,Happy,Playstation
State of Play,Youtube,@budala1969,Literally nothing of interest... guess the ps5 will continue collecting dust,750,2 weeks ago,Positive,Happy,Astro
State of Play,Youtube,@PrimeExcellence0,Alright guys who’s ready for the Overwatch Clone that took 6 FULL MINUTES to introduce any gameplay,0,2 weeks ago,Positive,Happy,Game
State of Play,Youtube,@rtuumm,Concord being an arena Shooter is Mega disappointing. Another Live Service I won't be touching.,109,2 weeks ago,Negative,Sad,Game
State of Play,Youtube,@GamesTodayStreamXY,Xbox was better than this State of play ,789,10 days ago,Negative,Sad,Sony
State of Play,Youtube,@backyardr.c.6280,We want single player games with decent graphics and amazing narratives and gameplay. Open sourced engines for moding. Take risks like your predecessors. Actually innovate instead of rehashing boring styles. We want to play finished games with no need for DLCs and definitely NO MICROTRANSACTIONS!!,2,2 weeks ago,Negative,Fear,Concord
State of Play,Youtube,@chrisrivers4560,"Concord looked like a promising game until it turned out to be a team fps. How many 5v5 multiplayer games are there now, and how long are people going to care about this one?",1,2 weeks ago,Positive,Surprise,Boring
State of Play,Youtube,@jzilla003,Gordon ramsey gotta get ps out the kitchen cuz they werent cooking for this,255,2 weeks ago,Positive,Happy,
State of Play,Youtube,@trionghost,Astro Bot rules. I hope it'll have split screen mode to play together with family. It's so few games for family on PS5 ~_~.,292,2 weeks ago,Negative,Fear,Astro Bot
State of Play,Youtube,@NerdBaconReviews,Remember when Sony gaming events were hype ,2,2 weeks ago,Positive,Happy,Xbox
State of Play,Youtube,@gvstt,Astrobot is the most interesting game shown here,2,2 weeks ago,Positive,Happy,Sony
State of Play,Youtube,@ochamp121212,The thing about concord is when you hit something it looks like it has no impact at all,286,2 weeks ago,Negative,Angry,Astro
State of Play,Youtube,@saulbeltran2842,Astro bot is one we cannot hate on,36,4 days ago,Positive,Happy,Concord
State of Play,Youtube,@decoyfox,"It's cute they think we're going to pay for their knockoff overwatch clone, Concord is DOA",2,2 weeks ago,Positive,Happy,Astro
State of Play,Youtube,@Harryjordan,It feels like Playstation is trying their hardest to not make money,172,2 weeks ago,Negative,Sad,Alien
State of Play,Youtube,@aliiibamaaa2193,I think this years PlayStation state of play drop the bombs honestly. Side note....Final Fantasy 7 Rebirth was by far the best for PlayStation 5 and also they deserve games of the years without questions,479,2 weeks ago,Negative,Fear,Final Fantasy 7
State of Play,Youtube,@PuggetronicsPioneer,"Bro, i just want Gravity Rush 3",1,2 weeks ago,Positive,Happy,Game
State of Play,Youtube,@M98747,This State of Play was horrendous.,2,2 weeks ago,Negative,Sad,
State of Play,Youtube,@brunnoarians,Concord = Valorant = Overwatch. Nothing new here,260,2 weeks ago,Positive,Happy,Game
State of Play,Youtube,@LEE-337,For years I've asked for a new SOCOM. Not an Overwatch clone.,200,2 weeks ago,Negative,Fear,Boring
State of Play,Youtube,@Rawdenimandsneakers,Astro Bot looks awesome,14,2 weeks ago,Positive,Surprise,Disappointed
State of Play,Youtube,@nightmare1nc,i spent 5 minuets skimming throu this and i still feel like i wasted time.,2,2 weeks ago,Positive,Happy,
State of Play,Youtube,@huuamai8151,I miss E3 level hype reveals.,285,2 weeks ago,Positive,Surprise,
State of Play,Youtube,@azzkelat3879,Where is the dlc for Marvel Spider-Man 2?,353,3 weeks ago,Positive,Surprise,Game
State of Play,Youtube,@YUCHAGAMING,"What about remake ico, no??",2,2 weeks ago,Positive,Happy,Concord
State of Play,Youtube,@Fizzypoptunes,Guardians of the galaxy from Temu,0,2 weeks ago,Positive,Happy,Sony
State of Play,Youtube,@hectortejeda2057,How many FPS clones do we need?,287,2 weeks ago,Positive,Happy,
State of Play,Youtube,@genyatus,"I don't think anyone had hopes for the SH2 remake, but that's just rough",510,2 weeks ago,Negative,Sad,Astro
State of Play,Youtube,@herrypottier4201,"Astro bot, moster hunter wilds, silent hill 2, path of exile 2 are the only ones that interested me in this state of play, lets see what nintendo and Microsoft have in store",47,2 weeks ago,Negative,Sad,State Of Play
State of Play,Youtube,@Dusty548,My expectations were zero and I was still second hand embarrassed by this.,56,2 weeks ago,Negative,Fear,Xbox
State of Play,Youtube,@metarugia3981,"Why is it so hard for shareholders to understand that the FPS genre is oversaturated and people are tired of them. Look how successful Helldivers is, as a co-op 4 person shooter with unique gameplay.",1,2 weeks ago,Negative,Angry,Gow
State of Play,Youtube,@kpsk8031,This made me much more excited for ANYTHING Nintendo is planning. What a disaster.,1,2 weeks ago,Negative,Sad,Astrobot
State of Play,Youtube,@Bookish_Lattes,I was getting hyped about Concord until the unfortunate live service aspect was revealed. No thanks.,145,2 weeks ago,Positive,Surprise,Release
State of Play,Youtube,@doomslayer6906,"i feel like patchy the pirate after watching the super secret spongebob episode  i genuinely had to say ""that was it?""",29,2 weeks ago,Positive,Surprise,Game
State of Play,Youtube,@Kyle181INF,Pretty bad when Astro bot is their best showing...,1,2 weeks ago,Positive,Happy,State Of Play
State of Play,Youtube,@wushroomnimbus,I just really want another LittleBigPlanet game,221,2 weeks ago,Positive,Happy,
State of Play,Youtube,@7raulito10,Concord looks like it could be great if they give it the proper care and could maybe bring something different to the overwatch crowd but it feels off that there aren’t any single player titles to look forward to from Sony,33,2 weeks ago,Positive,Happy,Game
State of Play,Youtube,@willjohnboy,Sony should be ashamed at that state of play.,1,2 weeks ago,Negative,Sad,
State of Play,Youtube,@hoarfyt,Bad ending: every game is dark souls and overwatch now,2,2 weeks ago,Positive,Surprise,Astro
State of Play,Youtube,@jamescorey3516,Nobody wants a Live Service game. They want a chill Multi player game.,437,5 days ago,Negative,Sad,Game
State of Play,Youtube,@gamergangtalk0080,This Year  Sony 0 - 1 Xbox,35,10 days ago,Positive,Happy,Playstation
State of Play,Youtube,@LuisPipoComunica,"Agree on that comment about shareholders being the biggest threat to quality, in general. That game concord came too late, looks like the kind of game i'll never play tbh",1,2 weeks ago,Negative,Fear,Silent Hill
State of Play,Youtube,@qhouston2942,PlayStation please understand that we want games that focus on single player stories …stop with the live server multiplayer stuff…please!!,841,2 weeks ago,Positive,Happy,Playstation
State of Play,Youtube,@eliamzg,I have had a PS5 for close to two years now... sadly my joy has been in games from past gens,314,2 weeks ago,Positive,Happy,Until Dawn
State of Play,Youtube,@GamingMaverickIN6470,We want single player exclusives,0,2 weeks ago,Positive,Happy,
State of Play,Youtube,@wpol475,"We've gone from eras of Jak and Daxter, Twisted Metal, Metal Gear 4, Uncharted, Killzone, Resistance, LittleBigPlanet, Infamous, Shadow of the Colossus, Bloodbourne...shoot, even Playstation All-Stars...and more...to this.   I'm disappointed in Sony this year :/",0,2 weeks ago,Negative,Sad,Astro
State of Play,Youtube,@VividVisionary,"Loved Concord, until I saw it was a PvP game. A single player experience is what I thought it was with the opening scenario. The fact it’s Overwatch or Apex, I’m out.",393,2 weeks ago,Positive,Happy,
State of Play,Youtube,@clutchmelon4587,They just ripped off Guardians of the Galaxy with that intro cinematic,54,2 weeks ago,Positive,Happy,
State of Play,Youtube,@bernardo_olafson,how far can we go making our game look like Guardians of the Galaxy without getting sued...,2,7 days ago,Negative,Sad,Game
State of Play,Youtube,@XhoowieX,Guardians of the Galaxy at home...,0,2 weeks ago,Negative,Sad,Sony
State of Play,Youtube,@andrewb214,"Perhaps there is an audience out there for pure PVP based hero shooters, but I'm definitely not in it.",161,2 weeks ago,Negative,Sad,
State of Play,Youtube,@MissKatheryn,"All I wanted was an update on Baby Steps, I'm very sad now",48,2 weeks ago,Negative,Sad,Concord
State of Play,Youtube,@HiNRGSpa,We want great single player experiences. Love Astro Bot.,1,2 weeks ago,Positive,Happy,Sony
State of Play,Youtube,@OrionSkiesAMV,Did we really need Until Dawn remade...?,1,2 weeks ago,Positive,Happy,Game
State of Play,Youtube,@FeisarX,I wish I could have the 35 minutes back and just watch Astrobot.,27,2 weeks ago,Positive,Surprise,
State of Play,Youtube,@meadinosaur7085,Honestly.... that Astro Bot at the end was the best that was shown. I am not sure how I feel about Monster Hunter Wilds yet? is it gonna be like World or Rise?,16,2 weeks ago,Positive,Happy,Game
State of Play,Youtube,@billytaylor1780,"21:53 23:00 ""Where Winds Meets"" is the only game that interest me here.",1,11 days ago,Positive,Happy,Sony
State of Play,Youtube,@peteparker22,These companies never learn that no one wants to see pre rendered cinematic trailers,2,2 weeks ago,Positive,Surprise,Game
State of Play,Youtube,@Kazeira,Without Astro Bot this would probably have been one of the worst State Of Play ever,36,2 weeks ago,Negative,Sad,Astro
State of Play,Youtube,@collinslack52,I'm curious as to what Bend has been up to. I'm still praying one day for Syphon Filter 1-3 remake. But with Days Gone-like  mechanics and expanded fleshed maps.,0,2 weeks ago,Positive,Happy,Astro
State of Play,Youtube,@sandihermana4873,"Why there is still no sign about the next resident evil games, i just wish later this year will show up in next event",37,2 weeks ago,Negative,Fear,Astro
State of Play,Youtube,@TheGuiVR,Bloodborne 2? NO. Bloodborne PC port? NO.  Bloodborne 60fps patch for ps5? NO. Bloodborne remaster? NO.,64,2 weeks ago,Positive,Happy,Game
State of Play,Youtube,@justafewthoughts9519,Concord looked kinda fun with that trailer. Then they said it’s a 5v5 shooter and got sad because I will never play it.,2,2 weeks ago,Positive,Happy,Disappointed
State of Play,Youtube,@dudeguy1894,28:52 The only trailer I actually care about,56,2 weeks ago,Positive,Happy,
State of Play,Youtube,@divinedemon9076,"Excited for the Until Dawn upgrade, now when are we getting the rest of the Dark Pictures Anthology and can they get the same graphics treatment?",20,2 weeks ago,Negative,Sad,Concord
State of Play,Youtube,@jukuri3545,Another state of play that shows why I don't need a PS5,6,2 weeks ago,Negative,Angry,Game
State of Play,Youtube,@johnclark926,"Absolutely psychotic they snuck Astro Bot after 33 minutes of mostly mindless gaming sludge. It would have saved so many people’s time to have it start the event, so much of this was either obvious ports or games no one is interested in.",162,2 weeks ago,Negative,Fear,Game
State of Play,Youtube,@SkylarCampbellArt,"Alright gamers, we heard you! Get ready for misleading uninspired cinematic trailer #1,463 (extended edition)",19,2 weeks ago,Positive,Happy,
State of Play,Youtube,@stuartroweofficial,Astrobot looks fun,2,2 weeks ago,Positive,Happy,Game
State of Play,Youtube,@wazzupimchris,Calling it right now. Concord will suffer the same fate as Lawbreakers.,1,2 weeks ago,Positive,Happy,Monster Hunter
State of Play,Youtube,@hahabamay,I really thought Concord was gonna be a Guardian of the Galaxy type game...what a shame,118,2 weeks ago,Negative,Fear,Sony
State of Play,Youtube,@nicolasdlcful,Cuando va a salir Astobot en Nintendo Switch???,36,2 weeks ago,Positive,Happy,Bored
State of Play,Youtube,@MatthewBrown-qi9nr,Astro Bot and Silent Hill!   Until Dawn is an amazing game for anyone who didn't play it.,1,2 weeks ago,Positive,Surprise,
State of Play,Youtube,@TheAusWarrior,release InFAMOUS 1-2 from their PS3 library prisons please!!!,0,3 weeks ago,Negative,Sad,InFamous
State of Play,Youtube,@francismatias4303,That Astro Bot game actually looks fun! Says a lot when that’s the game that really got my attention the most out of all of the games presented,32,2 weeks ago,Positive,Happy,Concord
State of Play,Youtube,@michaellee4463,I think it's safe to say that Concord single-handedly dragged down this entire State of Play,13,22 hours ago,Negative,Fear,Game
State of Play,Youtube,@Lokarusa,imagine the money used for fancy long CGI Trailer (which may resemble what the Games 'vision' is like but sometimes doesn't rlly share what the actual 95% of ingame content will be) would be used for extended deevelopment time :O,0,2 weeks ago,Positive,Surprise,Concord
State of Play,Youtube,@Baxwell.,It was weird seeing the Guardians of the Galaxy in Overwatch. It was weirder seeing it twice.,3,2 weeks ago,Positive,Happy,Poe2
State of Play,Youtube,@controversialverbal3792,Concord… Saints Row 2023 writing in space with a Guardians of the galaxy skin.,64,2 weeks ago,Positive,Happy,Astro
State of Play,Youtube,@Geneticspore,"If you have a game with NetEase, or Tencent, or anything that has sbi involved in it, you get an automatic F in my book.  Not impressed with this in the least bit Sony.",50,2 weeks ago,Positive,Happy,Disappointed
State of Play,Youtube,@curelord,Well best thing here was ASTRO bot,1,2 weeks ago,Positive,Happy,Playstation
State of Play,Youtube,@Sombro56,That’s 35 minutes I won’t get back,0,2 weeks ago,Positive,Happy,
State of Play,Youtube,@tentaclefoxx,Imagine the biggest win in a State of Play is an AstroBot game ,64,2 weeks ago,Positive,Surprise,
State of Play,Youtube,@SchmalzimOhr,Rebrand the state of play to State of Decay,63,10 days ago,Negative,Sad,State of Decay
State of Play,Youtube,@ZephyrAlphaOne,Astro Bot was the best game showcased lol,0,2 weeks ago,Positive,Happy,State Of Play
State of Play,Youtube,@felipekane9611,We need a new LittleBigPlanet game,2,2 weeks ago,Positive,Happy,
State of Play,Youtube,@ulrichlegros,Astro Bot still not on PSVR 2 ? Why ? It's the perfect game for the PSVR 2.,20,2 weeks ago,Negative,Sad,Game
State of Play,Youtube,@T4KUM4KUN,"Concord = Guardians of the galaxy's Overwatch Rivals = Marvel's Overwatch. Ok, no.  Let's go with AstroBot.",44,2 weeks ago,Positive,Surprise,Astrobot
State of Play,Youtube,@arijitroy3040,Why every game has to be either a live service or a souls like!?,0,2 weeks ago,Positive,Surprise,Astro
State of Play,Youtube,@borderlandzcrazy5717,Can we get something that's NOT Overwatch style?,0,2 weeks ago,Positive,Happy,Sony
State of Play,Youtube,@mattk413,Behemoth was the only one that looked interesting to me,647,2 weeks ago,Positive,Happy,
State of Play,Youtube,@ChocolateMilkMonster,"The only game with some style, personality and uniqueness to it was Astro Bot. They actually showed gameplay some gameplay and it seemed really fun. It's refreshing some some art style put into a modern game release again.",151,2 weeks ago,Positive,Happy,Game
State of Play,Youtube,@slowandsafegaming4126,Concord went from looking fun and interesting to convincing me to pretend it doesn't even exist in record time.,1,2 weeks ago,Positive,Happy,Game
State of Play,Youtube,@PercyNPC,Buy the games.  Buy heroes in game.  Buy heroes's skin in game.  Buy Battle Pass in game.   I hate these games.,41,2 weeks ago,Negative,Sad,Battle Pass
State of Play,Youtube,@LionheartXV,Astro bot looks great too i remember playing the vr one on ps4,125,2 weeks ago,Positive,Happy,
State of Play,Youtube,@stylelementz2194,Concord equals live service - no thanks. ( Where's bloodborne remake already),2,2 weeks ago,Positive,Happy,Sony
State of Play,Youtube,@frankkennedy6388,"""Our new pvp shooter"": MARVEL  ""How many times do we need to teach you this lesson old man!""",98,2 weeks ago,Positive,Surprise,
State of Play,Youtube,@Cone_Head70,You guys accidentally forgot Spiderman dlc,0,2 weeks ago,Negative,Angry,Concord
State of Play,Youtube,@nicholasjacquin476,man i cant wait to get carted and carried the entire game in monster hunter wilds!,0,2 weeks ago,Positive,Surprise,Game
State of Play,Youtube,@MaxxKoggen,So the PS5 Pro drops in September?,8,2 weeks ago,Positive,Happy,
State of Play,Youtube,@BigEOT3,"“PlayStation State of Play, where getting socks for Christmas doesn’t seem that bad in retrospect”",19,2 weeks ago,Negative,Sad,Sony
State of Play,Youtube,@tomsimmons7673,PlayStation State of Disappointment,4,2 weeks ago,Negative,Sad,Playstation
State of Play,Youtube,@AlxofSteel,"Ballad of Antara, Dynasty Warriors, and Where Winds Meet all feel like the exact same game but in different fonts.",4,2 weeks ago,Positive,Happy,Game
State of Play,Youtube,@bananabike279,"That was all right, mostly excited for Monster Hunter Wilds and Astro Bot!",1,2 weeks ago,Negative,Sad,Playstation
State of Play,Youtube,@tonybone1889,PS3-PS4 had some mind-blowing exclusives PS5 has been nothing but remasters and cross gen titles,1,2 weeks ago,Negative,Angry,
State of Play,Youtube,@unclesamseagle76,That Shadow of the Colossus Astro Bot cameo has me feeling all kinds of things. Team Asobi always delivers.,20,2 weeks ago,Positive,Happy,
State of Play,Youtube,@gokkiyoutube,"Chapters for each game, please!",0,2 weeks ago,Positive,Happy,
State of Play,Youtube,@nathank2289,"Wow the whole showcase is an example of ""We have (generic game) at home""",3,2 weeks ago,Positive,Surprise,Release
State of Play,Youtube,@legobane,As a Bloodborne fan I've already got the clown nose equipped,73,2 weeks ago,Positive,Happy,
State of Play,Youtube,@KingBamu,“Gonna get sticky” - Spider-Man 2024,39,2 weeks ago,Positive,Happy,
State of Play,Youtube,@bradynolan9328,Can we pls get a new sly cooper?,0,2 weeks ago,Positive,Happy,
State of Play,Youtube,@Nekroido,The dire state of play ,0,10 days ago,Negative,Sad,
State of Play,Youtube,@universpro7741,Having a weekly cinematic is the same as those clickbait mobile game ads,112,2 weeks ago,Positive,Happy,
State of Play,Youtube,@Fifko88,"""This could have been an email"" State of play. My disapointment is immesurable.",19,2 weeks ago,Negative,Sad,
State of Play,Youtube,@GlobalPsychosis,Why  won’t  you  make  a  new  Twisted  Metal!!!!,8,2 weeks ago,Negative,Sad,
State of Play,Youtube,@kronos13,Studio will shutdown after launch,106,2 weeks ago,Positive,Happy,Showcase
State of Play,Youtube,@charlesleeiii,Is that Scott Speedman as Lennox in Concord?,16,2 weeks ago,Positive,Happy,State Of Play
State of Play,Youtube,@shronk769,where are the strand type games???,0,2 weeks ago,Negative,Fear,Game
State of Play,Youtube,@Keisaraynja26,"As a lifelong PlayStation player, this was a really bleak, dire outlook for Sony, whoever is making these decisions to not listen to the consumer/fanbase when it comes to what we actually want from gaming is just killing the company.  The bigger they are, the harder they fall I suppose. ?",38,2 weeks ago,Negative,Sad,
State of Play,Youtube,@tropic.media.studio,Live service is going to kill PlayStation :(,2,2 weeks ago,Positive,Surprise,Disappointing
State of Play,Youtube,@PsogyJkon,Y’all spent an unnecessary amount of time promoting Concord.,42,2 weeks ago,Negative,Fear,Playstation
State of Play,Youtube,@lisam.willson1679,PlayStation should honestly just stop working on live service games,37,2 weeks ago,Negative,Fear,
