"User","Comment","Likes","Date"
"@rhog45","Can't lie i had the biggest smile on my face watching Astro Bot","294","2 weeks ago"
"@matheusbranco6441","Astro Bot was one of the best one ngl, better than ""concord"". I need more games like Astro Bot","38","2 weeks ago"
"@chisaten","10:46 timestamp to skip all the Concord talk.","11","2 weeks ago"
"@nickhoffman9256","Wow that concord trailer is the most misleading trailer I've seen in years.","646","2 weeks ago"
"@aydogduemre","The world doesn't need more multiplayer FPS games.","1K","2 weeks ago"
"@jub8891","Astrobot was the best thing about this video","27","2 weeks ago"
"@timohlsson3099","Talking about a 5v5 game for 10 minutes after showing a cinematic that tricked us to belivie it was a great singleplayer/co-op game like guardians of the galaxy. And then the rest of the games get like 1-2 minute each.","11","2 weeks ago"
"@surfsideskitty","Y’all spent an unnecessary amount of time promoting Concord.","1.5K","2 weeks ago"
"@basicallyanon","Anytime someone mentions 5v5, live service or battle pass, it's already a bad sign","607","2 weeks ago"
"@KlisrColi","The gaming business needs a radical makeover.","57","2 weeks ago"
"@mauortega3749","Can't wait for that Astro Bot game. Team Asobi is doing such a great work with this franchise.","6","10 days ago"
"@GavinAeilts","Astrobot actually stole the show... and sony even knew it would...","1.4K","2 weeks ago"
"@gatsnguts","The gaming industry condensed in one video: soulslikes, games as a service, remakes, ports.","2.6K","2 weeks ago"
"@sil5429","The fact that the PS5 has LESS exclusives than the Virtual Boy is laughable","3","3 days ago"
"@OtterloopB","Nintendo royally schooled you today, Sony.","4","1 day ago"
"@ginog93","No more online multiplayer live service games please. We don’t want that.","353","2 weeks ago"
"@amano_s9159","Ok, Sony. Enough playing around. Where is the real State of Play?","513","2 weeks ago"
"@johanliebert1027","Companies doing their own separate trailer drops does not get me hyped at all. Why could not Sony wait another week and participate in Summer Game Fest? All coming together for a giant audience and a live show is so much more exciting than ""oh another trailer on youtube I will watch alone whenever I feel like it""","30","2 weeks ago"
"@joshuawillard9813","Every time I see a game with an early Beta release, all I hear is ""Let's outsource QA to the consumer so we don't have to pay for it.""","3","2 weeks ago"
"@dogfacezab5964","A 10 second countdown for a 30 second countdown is insane","2K","2 weeks ago"
"@markmills4980","my expectations were low, and i am still disappointed","954","2 weeks ago"
"@RtoioBnoiy","When will Sony show us actual games?","5","2 weeks ago"
"@crazyrage8225","Astro bot looks hella fun","5","2 weeks ago"
"@leviwuzere07","""5v5 fps"" - basically, absolutely nothing like the cinematic trailer...","558","2 weeks ago"
"@blackknightrises8612","I feel sad that Astro Bot was the only real highlight for me ","332","2 weeks ago"
"@samst5656","Wow another sad year for sony","8","2 weeks ago"
"@FrayedACCL","Going from the xbox premieres comments to the state of plays comments is wild. How quickly things can switch up never ceases to surprise me.","2","9 days ago"
"@milkman1673","getting tired of cutscenes sounding like every marvel movie ... writers need to learn to write again","523","2 weeks ago"
"@iFluxyy","Why does the common sentiment held by many studios nowadays seem to be ""we need more overwatch clones.""","517","2 weeks ago"
"@EatinPaste","You know it's a dud when nobody timestamps a thing from the video.","33","2 weeks ago"
"@kMyAbdulrahman","I really wish you would reboot sly cooper ","6","2 weeks ago"
"@hossbonaventure","gaming industry needs a hard reset","563","2 weeks ago"
"@CJ_Williams","Concord went from ""cool world and design. I'm in"" to seeing a 5v5 arena shooter ""I'm hard out"".  This as a larger space faring coop heist adventure could be something.","135","2 weeks ago"
"@HeroLloyd","My lil robot boy got the proper sequel he deserves 🥹","4","2 weeks ago"
"@TommyPhani","I come back here after finishing Xbox Showcase ","12","10 days ago"
"@chopsuey004","Astrobot looks pretty sick. Gamers are tired of live service games.","270","2 weeks ago"
"@djtomoy","Congratulations to all the developers featured for not being fired yet","225","2 weeks ago"
"@jackbrassil5318","Concord looks terrible","15","2 weeks ago"
"@zacharyrichardson6426","Why is every studio making an over watch clone? Who told them people want that?","336","2 weeks ago"
"@alexanderzin","Video starts at 32:00","403","2 weeks ago"
"@10master31","I am just fed up with multiplayer games","4","2 weeks ago"
"@joshuathompson2404","Dear Sony, the games-as-service model is not sustainable. We don't want 20 of them every announcement showcase. Can't you drop at least 1 or 2 quality single player experiences this gen? Tent pole experiences, like you used to be known for?","1K","2 weeks ago"
"@alatan","I am 40. Only Astro Bot got me excited.","589","2 weeks ago"
"@shirakenpsyop6843","Monster Hunter was really the only one worth (coming from a huge Siletn Hill 2 fan). Indie games are hard carrying the industry right now, sheesh...","3","2 weeks ago"
"@comicsmisexplained","Where’d your Stars program go? It disappeared a week or two ago and no one has said a thing.","1","9 days ago"
"@freddywright4239","The concord crew looked like they would’ve had potential to grow as characters and have interesting stories, shame they’ll be stuck as quippy stereotypes in a hero shooter","446","2 weeks ago"
"@LJ101","Astro Bot stole the show, that's actually sad for the other games","314","2 weeks ago"
"@ashennyx8820","Montset hunter lookin sick!","3","2 weeks ago"
"@MadRetro00","Were the free gunner crew of the North Star, and together were going to flop harder than Marvels Avengers","4","2 weeks ago"
"@wayneswirl","This could have been an email energy","314","2 weeks ago"
"@arkham_inmate9935","Astrobot was literally the best game they showed","487","2 weeks ago"
"               @brizwastakened             ","give us another littlebigplanet it’s been a decade ","4","2 weeks ago"
"@XxNuuruhuinexX","That black PS5 at the 33:40 mark looked real nice. Is that a new model or variant?","1","2 weeks ago"
"@Jarrod0306","I want a new Infamous","4.9K","3 weeks ago"
"@cookingsauce8274","Alright bloodborne fans time to get our clown makeup ready","7.8K","3 weeks ago"
"@PiMpiNx187","No games modern gaming at its finest","9","2 weeks ago"
"@budala1969","Literally nothing of interest... guess the ps5 will continue collecting dust","5","2 weeks ago"
"@PrimeExcellence0","Alright guys who’s ready for the Overwatch Clone that took 6 FULL MINUTES to introduce any gameplay","192","2 weeks ago"
"@rtuumm","Concord being an arena Shooter is Mega disappointing. Another Live Service I won't be touching.","161","2 weeks ago"
"@GamesTodayStreamXY","Xbox was better than this State of play ","11","10 days ago"
"@backyardr.c.6280","We want single player games with decent graphics and amazing narratives and gameplay. Open sourced engines for moding. Take risks like your predecessors. Actually innovate instead of rehashing boring styles. We want to play finished games with no need for DLCs and definitely NO MICROTRANSACTIONS!!","412","2 weeks ago"
"@chrisrivers4560","Concord looked like a promising game until it turned out to be a team fps. How many 5v5 multiplayer games are there now, and how long are people going to care about this one?","167","2 weeks ago"
"@jzilla003","Gordon ramsey gotta get ps out the kitchen cuz they werent cooking for this","4","2 weeks ago"
"@trionghost","Astro Bot rules. I hope it'll have split screen mode to play together with family. It's so few games for family on PS5 ~_~.","2","2 weeks ago"
"@NerdBaconReviews","Remember when Sony gaming events were hype ","250","2 weeks ago"
"@gvstt","Astrobot is the most interesting game shown here","750","2 weeks ago"
"@ochamp121212","The thing about concord is when you hit something it looks like it has no impact at all","         ","2 weeks ago"
"@saulbeltran2842","Astro bot is one we cannot hate on","1","4 days ago"
"@decoyfox","It's cute they think we're going to pay for their knockoff overwatch clone, Concord is DOA","109","2 weeks ago"
"@Harryjordan","It feels like Playstation is trying their hardest to not make money","789","2 weeks ago"
"@aliiibamaaa2193","I think this years PlayStation state of play drop the bombs honestly. Side note....Final Fantasy 7 Rebirth was by far the best for PlayStation 5 and also they deserve games of the years without questions","2","2 weeks ago (edited)"
"@PuggetronicsPioneer","Bro, i just want Gravity Rush 3","1","2 weeks ago"
"@M98747","This State of Play was horrendous.","255","2 weeks ago"
"@brunnoarians","Concord = Valorant = Overwatch. Nothing new here","292","2 weeks ago (edited)"
"@LEE-337","For years I've asked for a new SOCOM. Not an Overwatch clone.","2","2 weeks ago"
"@Rawdenimandsneakers","Astro Bot looks awesome","2","2 weeks ago"
"@nightmare1nc","i spent 5 minuets skimming throu this and i still feel like i wasted time.","286","2 weeks ago"
"@huuamai8151","I miss E3 level hype reveals.","36","2 weeks ago"
"@azzkelat3879","Where is the dlc for Marvel Spider-Man 2? Sony due to its leadership position  has the right to treat fans this way","1","8 days ago (edited)"
"@YUCHAGAMING","What about remake ico, no??","2","2 weeks ago"
"@Fizzypoptunes","Guardians of the galaxy from Temu","172","2 weeks ago"
"@hectortejeda2057","How many FPS clones do we need?","479","2 weeks ago"
"@genyatus","I don't think anyone had hopes for the SH2 remake, but that's just rough","1","2 weeks ago"
"@herrypottier4201","Astro bot, moster hunter wilds, silent hill 2, path of exile 2 are the only ones that interested me in this state of play, lets see what nintendo and Microsoft have in store","2","2 weeks ago"
"@Dusty548","My expectations were zero and I was still second hand embarrassed by this.","260","2 weeks ago"
"@metarugia3981","Why is it so hard for shareholders to understand that the FPS genre is oversaturated and people are tired of them. Look how successful Helldivers is, as a co-op 4 person shooter with unique gameplay.","200","2 weeks ago"
"@kpsk8031","This made me much more excited for ANYTHING Nintendo is planning. What a disaster.","14","2 weeks ago"
"@Bookish_Lattes","I was getting hyped about Concord until the unfortunate live service aspect was revealed. No thanks.","2","2 weeks ago"
"@doomslayer6906","i feel like patchy the pirate after watching the super secret spongebob episode  i genuinely had to say ""that was it?""","285","2 weeks ago"
"@Kyle181INF","Pretty bad when Astro bot is their best showing...","353","2 weeks ago"
"@wushroomnimbus","I just really want another LittleBigPlanet game","2","2 weeks ago"
"@7raulito10","Concord looks like it could be great if they give it the proper care and could maybe bring something different to the overwatch crowd but it feels off that there aren’t any single player titles to look forward to from Sony","         ","2 weeks ago"
"@willjohnboy","Sony should be ashamed at that state of play.","287","2 weeks ago"
"@hoarfyt","Bad ending: every game is dark souls and overwatch now","510","2 weeks ago"
"@jamescorey3516","Nobody wants a Live Service game. They want a chill Multi player game.","         ","5 days ago"
"@gamergangtalk0080","This Year  Sony 0 - 1 Xbox","24","10 days ago"
"@LuisPipoComunica","Agree on that comment about shareholders being the biggest threat to quality, in general. That game concord came too late, looks like the kind of game i'll never play tbh","47","2 weeks ago"
"@qhouston2942","PlayStation please understand that we want games that focus on single player stories …stop with the live server multiplayer stuff…please!!","56","2 weeks ago"
"@eliamzg","I have had a PS5 for close to two years now... sadly my joy has been in games from past gens","1","2 weeks ago"
"@GamingMaverickIN6470","We want single player exclusives","1","2 weeks ago"
"@wpol475","We've gone from eras of Jak and Daxter, Twisted Metal, Metal Gear 4, Uncharted, Killzone, Resistance, LittleBigPlanet, Infamous, Shadow of the Colossus, Bloodbourne...shoot, even Playstation All-Stars...and more...to this.   I'm disappointed in Sony this year :/","145","2 weeks ago"
"@VividVisionary","Loved Concord, until I saw it was a PvP game. A single player experience is what I thought it was with the opening scenario. The fact it’s Overwatch or Apex, I’m out.","29","2 weeks ago"
"@clutchmelon4587","They just ripped off Guardians of the Galaxy with that intro cinematic","1","2 weeks ago"
"@bernardo_olafson","how far can we go making our game look like Guardians of the Galaxy without getting sued...","1","7 days ago"
"@XhoowieX","Guardians of the Galaxy at home...","221","2 weeks ago"
"@andrewb214","Perhaps there is an audience out there for pure PVP based hero shooters, but I'm definitely not in it.","33","2 weeks ago"
"@MissKatheryn","All I wanted was an update on Baby Steps, I'm very sad now","1","2 weeks ago"
"@HiNRGSpa","We want great single player experiences. Love Astro Bot.","2","2 weeks ago"
"@OrionSkiesAMV","Did we really need Until Dawn remade...?","437","2 weeks ago"
"@FeisarX","I wish I could have the 35 minutes back and just watch Astrobot.","35","2 weeks ago"
"@meadinosaur7085","Honestly.... that Astro Bot at the end was the best that was shown. I am not sure how I feel about Monster Hunter Wilds yet? is it gonna be like World or Rise?","1","2 weeks ago"
"@billytaylor1780","21:53 23:00 ""Where Winds Meets"" is the only game that interest me here.","1","11 days ago"
"@peteparker22","These companies never learn that no one wants to see pre rendered cinematic trailers","841","2 weeks ago"
"@Kazeira","Without Astro Bot this would probably have been one of the worst State Of Play ever","314","2 weeks ago"
"@collinslack52","I'm curious as to what Bend has been up to. I'm still praying one day for Syphon Filter 1-3 remake. But with Days Gone-like  mechanics and expanded fleshed maps.","         ","2 weeks ago"
"@sandihermana4873","Why there is still no sign about the next resident evil games, i just wish later this year will show up in next event","         ","2 weeks ago"
"@TheGuiVR","Bloodborne 2? NO. Bloodborne PC port? NO.  Bloodborne 60fps patch for ps5? NO. Bloodborne remaster? NO.","393","2 weeks ago (edited)"
"@justafewthoughts9519","Concord looked kinda fun with that trailer. Then they said it’s a 5v5 shooter and got sad because I will never play it.","54","2 weeks ago (edited)"
"@dudeguy1894","28:52 The only trailer I actually care about","2","2 weeks ago"
"@divinedemon9076","Excited for the Until Dawn upgrade, now when are we getting the rest of the Dark Pictures Anthology and can they get the same graphics treatment?","         ","2 weeks ago"
"@jukuri3545","Another state of play that shows why I don't need a PS5","161","2 weeks ago"
"@johnclark926","Absolutely psychotic they snuck Astro Bot after 33 minutes of mostly mindless gaming sludge. It would have saved so many people’s time to have it start the event, so much of this was either obvious ports or games no one is interested in.","48","2 weeks ago"
"@SkylarCampbellArt","Alright gamers, we heard you! Get ready for misleading uninspired cinematic trailer #1,463 (extended edition)","1","2 weeks ago (edited)"
"@stuartroweofficial","Astrobot looks fun","1","2 weeks ago"
"@wazzupimchris","Calling it right now. Concord will suffer the same fate as Lawbreakers.","27","2 weeks ago"
"@hahabamay","I really thought Concord was gonna be a Guardian of the Galaxy type game...what a shame","16","2 weeks ago"
"@nicolasdlcful","Cuando va a salir Astobot en Nintendo Switch???","1","2 weeks ago"
"@MatthewBrown-qi9nr","Astro Bot and Silent Hill!   Until Dawn is an amazing game for anyone who didn't play it.","2","2 weeks ago"
"@TheAusWarrior","release InFAMOUS 1-2 from their PS3 library prisons please!!!","525","3 weeks ago"
"@francismatias4303","That Astro Bot game actually looks fun! Says a lot when that’s the game that really got my attention the most out of all of the games presented","36","2 weeks ago"
"@michaellee4463","I think it's safe to say that Concord single-handedly dragged down this entire State of Play","         ","22 hours ago"
"@Lokarusa","imagine the money used for fancy long CGI Trailer (which may resemble what the Games 'vision' is like but sometimes doesn't rlly share what the actual 95% of ingame content will be) would be used for extended deevelopment time :O","         ","2 weeks ago"
"@Baxwell.","It was weird seeing the Guardians of the Galaxy in Overwatch. It was weirder seeing it twice.","37","2 weeks ago"
"@controversialverbal3792","Concord… Saints Row 2023 writing in space with a Guardians of the galaxy skin.","64","2 weeks ago"
"@Geneticspore","If you have a game with NetEase, or Tencent, or anything that has sbi involved in it, you get an automatic F in my book.  Not impressed with this in the least bit Sony.","2","2 weeks ago"
"@curelord","Well best thing here was ASTRO bot","56","2 weeks ago"
"@Sombro56","That’s 35 minutes I won’t get back","20","2 weeks ago"
"@tentaclefoxx","Imagine the biggest win in a State of Play is an AstroBot game ","6","2 weeks ago"
"@SchmalzimOhr","Rebrand the state of play to State of Decay","2","10 days ago (edited)"
"@ZephyrAlphaOne","Astro Bot was the best game showcased lol","162","2 weeks ago"
"@felipekane9611","We need a new LittleBigPlanet game","19","2 weeks ago"
"@ulrichlegros","Astro Bot still not on PSVR 2 ? Why ? It's the perfect game for the PSVR 2.","2","2 weeks ago"
"@T4KUM4KUN","Concord = Guardians of the galaxy's Overwatch Rivals = Marvel's Overwatch. Ok, no.  Let's go with AstroBot.","1","2 weeks ago"
"@arijitroy3040","Why every game has to be either a live service or a souls like!?","118","2 weeks ago"
"@borderlandzcrazy5717","Can we get something that's NOT Overwatch style?","36","2 weeks ago"
"@mattk413","Behemoth was the only one that looked interesting to me","1","2 weeks ago"
"@ChocolateMilkMonster","The only game with some style, personality and uniqueness to it was Astro Bot. They actually showed gameplay some gameplay and it seemed really fun. It's refreshing some some art style put into a modern game release again.","         ","2 weeks ago"
"@slowandsafegaming4126","Concord went from looking fun and interesting to convincing me to pretend it doesn't even exist in record time.","32","2 weeks ago"
"@PercyNPC","Buy the games.  Buy heroes in game.  Buy heroes's skin in game.  Buy Battle Pass in game.   I hate these games.","13","2 weeks ago"
"@LionheartXV","Astro bot looks great too i remember playing the vr one on ps4","         ","2 weeks ago"
"@stylelementz2194","Concord equals live service - no thanks. ( Where's bloodborne remake already)","3","2 weeks ago"
"@frankkennedy6388","""Our new pvp shooter"": MARVEL  ""How many times do we need to teach you this lesson old man!""","64","2 weeks ago (edited)"
"@Cone_Head70","You guys accidentally forgot Spiderman dlc","50","2 weeks ago"
"@nicholasjacquin476","man i cant wait to get carted and carried the entire game in monster hunter wilds!","1","2 weeks ago"
"@MaxxKoggen","So the PS5 Pro drops in September?","         ","2 weeks ago"
"@BigEOT3","“PlayStation State of Play, where getting socks for Christmas doesn’t seem that bad in retrospect”","64","2 weeks ago"
"@tomsimmons7673","PlayStation State of Disappointment","63","2 weeks ago"
"@AlxofSteel","Ballad of Antara, Dynasty Warriors, and Where Winds Meet all feel like the exact same game but in different fonts.","         ","2 weeks ago"
"@bananabike279","That was all right, mostly excited for Monster Hunter Wilds and Astro Bot!","2","2 weeks ago"
"@tonybone1889","PS3-PS4 had some mind-blowing exclusives PS5 has been nothing but remasters and cross gen titles","20","2 weeks ago"
"@unclesamseagle76","That Shadow of the Colossus Astro Bot cameo has me feeling all kinds of things. Team Asobi always delivers.","44","2 weeks ago"
"@gokkiyoutube","Chapters for each game, please!","         ","2 weeks ago"
"@nathank2289","Wow the whole showcase is an example of ""We have (generic game) at home""","         ","2 weeks ago"
"@legobane","As a Bloodborne fan I've already got the clown nose equipped","647","2 weeks ago"
"@KingBamu","“Gonna get sticky” - Spider-Man 2024","151","2 weeks ago"
"@bradynolan9328","Can we pls get a new sly cooper?","1","2 weeks ago"
"@Nekroido","The dire state of play ","2","10 days ago"
"@universpro7741","Having a weekly cinematic is the same as those clickbait mobile game ads","41","2 weeks ago"
"@Fifko88","""This could have been an email"" State of play. My disapointment is immesurable.","125","2 weeks ago"
"@GlobalPsychosis","Why  won’t  you  make  a  new  Twisted  Metal!!!!","2","2 weeks ago"
"@xmaw86","Очень мелко для Sony - на 30 минут одна стоящая игра, да уж...","2","11 days ago"
"@kronos13","Studio will shutdown after launch","98","2 weeks ago"
"@charlesleeiii","Is that Scott Speedman as Lennox in Concord?","         ","2 weeks ago (edited)"
"@shronk769","where are the strand type games???","         ","2 weeks ago"
"@Keisaraynja26","As a lifelong PlayStation player, this was a really bleak, dire outlook for Sony, whoever is making these decisions to not listen to the consumer/fanbase when it comes to what we actually want from gaming is just killing the company.  The bigger they are, the harder they fall I suppose. 🫡","8","2 weeks ago (edited)"
"@tropic.media.studio","Live service is going to kill PlayStation :(","19","2 weeks ago"
"@PsogyJkon","Y’all spent an unnecessary amount of time promoting Concord.","4","2 weeks ago"
"@lisam.willson1679","PlayStation should honestly just stop working on live service games","4","2 weeks ago"
"@ZiouyHiocv","Congratulations to all the developers featured for not being fired yet","1","2 weeks ago"
"@MdaaoZiwu","You know the game is garbage when you think you have to show a 4 minute cinematic trailer to sell a 5v5 game.","1","2 weeks ago"
"@ToastInteractive","The new Astro Bot looks absolutely incredible! Astro Bot: Rescue Mission on PSVR blew our minds and was our inspiration behind making our very own VR platformer: Max Mustard. Even though this new title isn't headed to PSVR2, we hope to help fill the void for anyone wanting another charming VR platformer! ","20","2 weeks ago"
"@DullGamerGuy","We need Ghost of Tsushima 2 announcement","361","3 weeks ago"
"@VictorFaco","Concord had a huge potential to be a guardians of the galaxy clone where u roam around the universe completing quests with ur crew, would be ultra fun as a single player experience. But no, it has to be a generic fps multiplayer that everyone will stop playing 2 weeks after it launches","         ","2 weeks ago"
"@Thugger01","Soo 2 Overwatch clones, 500 games where you play as a badass asian samurai ninja whatever, some PC ports and a LittleBigPlanet wannabe. Wow.","3","2 weeks ago"
"@chidubemimari9015","Astro bot was the only redeeming quality of the stream smh","73","2 weeks ago (edited)"
"@Fin-ul5rx","Are you serious that was it","39","2 weeks ago"
"@MithunOnTheNet","Ballad of Antara looks amazing! Is it by a Japanese studio?","         ","2 weeks ago"
"@cupcake5128","Yesterday I bought a game from the store and I didn't like it, and not all of the maps work. How do I get my money back in the store to buy another game?","         ","2 weeks ago"
"@Phill81","30 minutes of nothing ","112","2 weeks ago"
"@crystalwater505","I'm almost the age of 40 and I think the Astro Bot game looks awesome.","19","2 weeks ago"
"@KaizenGamingTV","Where is Bloodborne II or Bloodborne port? hello?","8","2 weeks ago"
"@RedXIIRed13","Concord looked fun and halfway through the trailer I said out loud 'this better not be a team based shooter'. I was hoping for a new game like Guardians of the Galaxy","         ","2 weeks ago"
"@msa4178","When will Sony show us real games?","106","2 weeks ago"
"@Ashamedofmypast","Monsterhunter with 2 weapons during a hunt is easily the best thing here","16","2 weeks ago"
"@ElHeffJeff","Me watching Concord's trailer: ""Man this looks cool, it better not be a 5v5 team shooter"" ","         ","2 weeks ago"
"@I_love_bread_and_Hungry_Jacks","The only thing that actually surprised me was DYNASTY WARRIORS being in a state of play.","         ","12 days ago"
"@elgatosamurai9517","We need a new Resistance","578","3 weeks ago"
"@kamuigui","Concord could have been an amazing single player shooter rpg guardian of the galaxy-ish, and instead they decided to do an overwatch of it ","38","2 weeks ago"
"@WhackingJam","The only way I will play Concord is if it were Free and only then find some enjoyment if it was a quick Platinum.","         ","11 days ago"
"@user-ez9dp3zs1p","Rename the show as state of boring. Anyone remember games were fun before now???","2","2 weeks ago (edited)"
"@Igones","For a second I thought they were going to announce PS5 pro inside astro, that would’ve been really fun, haha","42","2 weeks ago"
"@alexpankin4711","I'm embarrassed to ask, where are the games?!","37","2 weeks ago (edited)"
"@slappyjo1046","Concord looks cool if it wasn’t a 5v5 shooter. Literally anything else would’ve been cool like DMZ","1","2 weeks ago"
"@megan6003","I wanna know what happened to phantom blade 0","         ","2 weeks ago"
"@predvoditel1","Astro Bot not coming to PSVR 2 is a shame.","18","2 weeks ago"
"@TMWriting","unbelievable that Astro Bot isn’t coming to PSVR2. As a hybrid release, it could really usher in a new era for the platform. Choosing to make it exclusively PS5 is a huge slap in the face to the PSVR community.","85","2 weeks ago"
"@beelvanbuurenful","Xbox just smashed y’all… be very embarrassed","15","11 days ago"
"@akkystreams1103","We're only half way through the year and it looks like Stellar Blade was the high point. Yikes.","         ","2 weeks ago"
"@faniumarigliano","Nobody caaaaaaaaaares about this Concord","37","2 weeks ago"
"@chrisbennett1358","What a let down","132","2 weeks ago"
"@Zamoshi","I'm more hyped about Astrobot than anything else in this video, even MH Wilds! (And I've been waiting for the sequel for over 6 years). Not interested in live service nor VR. Astro looks sick AF!!","1","2 weeks ago"
"@eliaszerano3510","concord is pvp only ?","         ","2 weeks ago"
"@jayc5555","Sony should be embarrassed. Awful show yet again.","39","2 weeks ago"
"@Sligili","We got two Overwatch clones bro ","17","2 weeks ago"
"@thalunizz21","This is a solid C-. My expectations were low, and it was still underwhelming. This should've been called State of PC - Astro Bot was the best and most original thing they showed. If it wasn't some Chinese souls-clone it was a PC port.","1","2 weeks ago (edited)"
"@dxshingaming4650","Concord have a so much funny and punchy dialogue but its not enough for laughing  coz its multiplayer ","1","2 weeks ago"
"@awgoodrich8","Was onboard with Concord until they said it was 5v5. IMO...it would have been more appealing if it was an action adventure or rpg of some sort.","99","2 weeks ago"
"@shishinonaito","Astro Bot saved this train wreck of a SoP","50","2 weeks ago"
"@Abi-chanFictionFan","So nobody is gonna talk about that Alien game on VR ? The Alien franchise has so much potential for horror games, why do you go full VR on this one ??? It could have been the next Alien Isolation...","4","2 weeks ago"
"@KanaGamez","astro bot looks incredible. at least they ended with that after starting with concord lol","         ","11 days ago"
"@NotRot_","Bring back single player experiences with compelling, gritty and morally challenging stories   Provide entertainment for the sake of entertainment","16","2 weeks ago"
"@stratix","Wow.  Guess the PS5 will be collecting dust for a while.","18","2 weeks ago"
"@stuartdoig15","Absolutely gutted that Concord isn't a 3rd person ""Guardians of The Galaxy"" style game. I loved that Guardians game, and the cinematic here gave so much personality to the characters. It feels such a shame to have them as part of a PvP game and not play with them as they travel to weird planets doing daft things. Ach well.","         ","2 weeks ago"
"@cikame","That moment when you give up and start making peace with the idea that video games aren't for you anymore.","         ","2 weeks ago"
"@jacobmacdonald1684","Every game was basically the same and all looked like games I would never play in a million years","83","2 weeks ago"
"@Jimmy_Drone","Concord and Marvel Rivals....Did we need 2 more overwatch clones?","33","2 weeks ago"
"@KaganGokasan","I swear if the astro bot game is either not free or so expensive im gonna freak out.","         ","2 weeks ago"
"@jaysam9117","You need to add more buttons to the controller's it gets a bit boring after a while","         ","2 weeks ago"
"@Malikah","Honestly, I am disappointed :(","48","2 weeks ago"
"@player1-jay","Not showing the wolverine game is kinda insane","92","2 weeks ago"
"@napynap","My favorites that I could see buying were Path of Exile 2, Monster Hunter Wilds, and Astro Bot.","         ","2 weeks ago (edited)"
"@jonathanbates3462","Are they not gonna announce a PlayStation handheld","         ","2 weeks ago"
"@Solo_Sessums","Astro Bot looks like so much fun.","44","2 weeks ago"
"@ZennaliciousD","Can’t wait for Overwatch: Guardians of the Galaxy Edition and Overwatch: Marvel DLC.","11","2 weeks ago"
"@BadMrMo","SH2 looks still bad. Konami is gonna sink this one too.","2","2 weeks ago"
"@arshiaat9503","Antara and where winds come look solid","         ","2 weeks ago"
"@Almost_cooking","This is how you don't get my money.","21","2 weeks ago"
"@shibineru","It's rare that I have 0 interest in everything shown during events like these. Well today is a rarity I guess.","12","2 weeks ago"
"@Hynet1","Concord would've been a great single player game I think. Especially if it was focused on building bonds and losing comrades along the way... oh well 5v5 nobody will play.","1","2 weeks ago"
"@slimshady102414","Concord, guardians of the galaxy from wish","1","2 weeks ago"
"@ZakMilz","crazy how concord was the entire stream","45","2 weeks ago"
"@TheStupidRaptor","Can Sony just sell Sly Cooper and Jak and Daxter to other developers? Since they never want to make games for those IP's ever again, even though everyone wants them to?","28","2 weeks ago (edited)"
"@user-jk4sd1tm7t","In fact, it's amazing how people who have made it to the top of the hierarchy in the gaming industry have not even the slightest idea of ​​what their audience wants and probably don't play video games, if they ever played them at all.  How many more life service cloned garbage dumps must fail before it becomes clear that this is just a waste of resources?","1","2 weeks ago"
"@EvlutnTrnrDaisy","Had skipped this until I heard that Infinity Nikki got a trailer. Best thing in the State of Play. Astrobot is cute though! <3","1","11 days ago"
