Username,Comments,Likes,Date,Hour,Sub Comments
@7thwardflayer,Can y’all pls bring little big planet back rather play than this,0,07/06/2024,6 PM,0
@accountino.ir,There are more important games than these🤔,0,6/1/2024,9 AM,0
@ajclank94,Boy to your guys state of play always blow,0,5/31/2024,6 AM,0
@al.kizoku,Create a region of Kazakhstan on PlayStation,0,5/31/2024,7 AM,0
@al.staples,Homie wtf was this line up,0,6/1/2024,5 AM,0
@alan16.garcia,Cringe🤣🤣🤣,0,6/1/2024,1 AM,0
@alibhai_456,Xbox… why? I thought we trusted you… why did you betray us?,0,22/06/2024,2 PM,0
@alihanb_,"Hell yeah, more Astro Bot",0,5/31/2024,6 AM,0
@alongcomesandy,Yes!!!! ,0,5/31/2024,8 AM,0
@andreeliziario,"Provavelmente não vão ler mas escreverei  mesmo assim, eu brasileiro ainda tenho meu XBOX360 queria muito ter a oportunidade de comprar jogos que sempre estiveram bloqueados por região antes que tudo acabe 😔 como Perfect Dark, Daytona USA e Afterburner Climax pois fizeram parte da minha infância e queria tê-los será que existe uma chance deles aparecerem no marketplace @xbox ?",0,21/06/2024,6 AM,0
@anthony.reavis53,Xbox I love you but don't display your logo as supporting as a particular movement because not everyone agrees with it so please keep it simple so it doesn't trigger people,0,21/06/2024,2 AM,0
@anthonyxjamal,"Instant cop on astro bot, yall trippin. demo was mad fun",0,5/31/2024,3 AM,0
@arcadianwind,"bro said ""until down""",4,5/31/2024,3 AM,0
@arez.c.mziry,Is fc 24 coming to game pass???,0,21/06/2024,1 AM,0
@argonath2008,The only new game : Astrobot 😂😂,0,5/31/2024,5 PM,0
@arman.modiri,Wow,6,5/31/2024,2 AM,0
@aye_aye_vlad,Xbox you nailed it. Now I need to get my series X. You deserve my cash 💸,0,21/06/2024,9 PM,0
@azizrdx11,Awesome 🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸,0,6/1/2024,8 PM,0
@be_380000,How a demo became the playstation mascot,0,5/31/2024,3 AM,0
@benedikt.goetz,state of decay 3!!!! yeeees,4,21/06/2024,11 AM,0
@bethoven_9067,@cris_torres_x does it hurt you?,0,05/06/2024,5 PM,0
@bigsparky1316,Man this state of play was shit man! Can we get the Orgiinal Resident Evil 2 and 3 from PS1 on PSN or PS+? @playstation,0,5/31/2024,4 AM,0
@blindsxde,Can't wait to play more astro bot,0,5/31/2024,6 AM,0
@bloodstonemajesty,Definitely excited for Astro Bot!!,0,5/31/2024,4 AM,0
@borroz2006,the astro bot sequel  I'm so excited to play it,2,5/31/2024,3 AM,0
@brawl2n,"Xbox ❌ , Gaybox ✔️",0,22/06/2024,4 PM,0
@brunosantos200206,When's is the summer game fest?,1,5/31/2024,4 PM,1
@buttercakeluv,Astro carried most of the  remaining games remind me of overwatch,0,5/31/2024,5 AM,0
@cambooey,Wait??? THEY DIDNT ANNOUNCE GTA 6?????,0,5/31/2024,3 AM,0
@chaudhrybilalnadeem,Concord 🙌,0,04/06/2024,10 AM,0
@chivanojs,This was lowkey boring,0,5/31/2024,5 AM,0
@chrisbacklog,"Only game I'm excited about.  Hopefully you guys are developing a sequel as well to sackboy a big adventure, that game was awesome, loved it's soundtrack too.  Looking forward to astro bot",5,5/31/2024,3 AM,0
@ciprian.luca212,"@_karibay_ it’s not about that, the experience of PS5 controller is something else for every game, Im glad that PC gamers will experience God of War Ragnarok, it was amazing. And on PC im using 4080ti and I7 14700k and still got some frames on ultra when ",0,03/06/2024,4 AM,0
@coriander_rice,At least there was Astro Bot!,188,5/31/2024,2 AM,0
@cowboylou55,Change the logo back,0,22/06/2024,1 PM,0
@crackkennedy,"@_dinkstagram_ only NPCs use the words ""NPC"" Crikey mate",0,6/1/2024,12 AM,0
@crackkennedy,"@_ish_ahm_ ""console war Andy"" yeah I can tell your day to day basis revolves around twitch lmao, don't bother replying loser",0,6/1/2024,12 AM,0
@cris_torres_x,Stop bringing exclusives to PC,175,5/31/2024,3 AM,23
@cxllum_rfc,I can't wait for this ,0,5/31/2024,10 AM,0
@dah_miciest_spemer,BOOOOOO do better PlayStation,0,6/1/2024,11 AM,0
@daily_nerdasm,The only good thing were the Astrobots,2,5/31/2024,10 AM,0
@danial.behi,If you are done porting games for pc start announcing something good,0,5/31/2024,8 AM,0
@danieldavis989,"Wow, isn't it crazy the amount of exclusives you can have if you just buy everybody",3,21/06/2024,8 PM,0
@danteloc,PlayStation fell off. That was terrible,0,5/31/2024,3 AM,0
@dasoggysloth,Where's he's,0,22/06/2024,1 PM,0
@david.the.paganyogi,"I love #astrobot so much, I designed a crochet pattern for my very own",0,5/31/2024,8 AM,0
@davor_demirovic,Where's medievil 2 remake?,0,5/31/2024,4 AM,0
@ddantee_0,no skong...,0,22/06/2024,3 PM,0
@dentist616,Port rescue mission to PSVR 2,0,5/31/2024,3 AM,0
@dexinty.1,Sony I thank you for astro bot this is the best game that the PS5 would have this year and I already know it will be my goty this year,3,5/31/2024,8 PM,0
@dimazey61,mid yet astrobot good) love it,0,5/31/2024,6 AM,0
@dimos_mprikos,Astro solo carried this event,0,6/1/2024,12 AM,0
@diondelesia,Guys. That was a rough one.,1,5/31/2024,3 AM,0
@djhepcat,"Love Astrobot, though why isn’t it PSVR2.  The original was one of my favorite VR games ever",0,6/1/2024,11 AM,0
@dogfightspinningguy,Dog Fight Spinning Guy,0,5/31/2024,10 AM,0
@dontspeakonm3handoutk,How about lowering the price on your controllers since we have to get new one every 2 months ?,4,5/31/2024,4 AM,11
@dtestaa,ASTRO,8,5/31/2024,4 AM,0
@eck0410,Day 1 purchase! Cannot wait!,0,5/31/2024,5 AM,0
@eiisuto,I hope astrobot is not just a game that is good to play on PS5 but I hope it'll be a great platformer as well that we'll remember in the future,0,5/31/2024,9 AM,0
@f_u_7_z_y,Time to hear all the crybabies talk about a game that hasn't come out yet,0,5/31/2024,6 AM,0
@fake_asianjeff7,Xbox why why did you change your pfp 😭,1,21/06/2024,6 AM,0
@fate_wielder,Is anyone else confused that a mobile dressing game that people barely play got turned into a console game?,4,5/31/2024,2 AM,2
@fe1ipe_vieira,Where the real ones sony ?,4,5/31/2024,2 AM,0
@flnalgirlenergy,"If only Indiana jones was on all consoles , like spiderman should be too - I left Xbox for PS in 2017 so I’m not bias , I want us all to get these games.",4,21/06/2024,3 PM,0
@fmby.1,@lvlreem We get Console wars in 2024 before gta6,0,6/1/2024,6 PM,0
@funky_adhd,Still waiting on Elder Scrolls VI,5,21/06/2024,6 PM,0
@fvizca,Is Astrobot going to be for free?,3,5/31/2024,3 AM,0
@gamecubegrl_,Yayyy,0,5/31/2024,9 AM,0
@ganishipo,Should've at least gave us a release date for monster hunter,0,5/31/2024,4 AM,0
@gavinbarnett97,"@jack.kennedyy420 gran turismo, infamous, ratchet and clank, shadow of colossus, hotizon zero dawn and forbidden west, ghost of tsushima, uncharted, spider-man, last of us, God of war, parappa the rapper, sly cooper, days gone, bloodborne, last guardian, until dawn, Detroit become human, death stranding, sackboy and little big planet, returnal, and astro bot. Unlike with what you said I can actually go on, and that is not counting all the games in the franchises I mention like gow and ratchet and clank. Also if I were including games that started off exclusive, which you did, i could go even longer with p5r and final fantasy vii.",0,6/13/2024,11 AM,0
@gavinbarnett97,"@jack.kennedyy420 every game on Xbox is on pc. Even if some are om pc, playstation has some that aren't on pc, you don't. THE only good thing about xbox is gamepass, and that is on pc.",0,6/13/2024,4 PM,0
@gavinbarnett97,"@jack.kennedyy420 god of war ragnarok, ff7 rebirth, spider-man 2, horizon forbidden west, returnal, sackboy, and probably more that I can't remember off the top of my head. All games after astro playroom that aren't on pc and only ps5 and/or ps4",0,6/14/2024,1 PM,0
@gavinbarnett97,"@jack.kennedyy420 you're right I apologize I didn't realize returnal horizon and sackboy were on pc. But what does it matter? It doesn't change the fact that there are tons of good games you can play on plaustation which many aren't on pc though, that you don't have on Xbox. You don't have any  good games and all your modern ones are on pc. And bunch of xbox games are going to playstation",0,6/14/2024,2 PM,0
@gavinbarnett97,@jack.kennedyy420 all your ganes are going to playstation. Sea of thieves and hi fi rush already did. You just couldn't come up with a reply and are trolling. Playstation games are almost objectively better then any xbox exclusive.,0,6/14/2024,3 PM,0
@gavinbarnett97,"@jack.kennedyy420 ratchet and clank alone destroys any xbox game regarding variety. Og gow games are great and different hack and slashes, ataor playroom uses the controller as a part of the game unlike any other game. You cannot talk about variety with xbox compared to playstation.",0,6/15/2024,3 PM,0
@gavinbarnett97,"@jack.kennedyy420 ratchet and clank guns are the definition of variety. I don't think you know what that franchise is. No rpgs? You forget the whole ps1/2 era where it was one rog after another. One if not the most popular rpg is ff7 which was originally a ps1 exclusive. And jow ff7 rebirth, rpg doesn't mean turn based. Ff7 rebirth is an rpg. Even the new gow games could be argued to be a action rpg. Learn the definition of rpg because there is more than just turn based.",0,6/15/2024,4 PM,0
@gavinbarnett97,"@jack.kennedyy420 I mentioned guns because that is where the variety comes in with ratchet and clank. And then I mentioned turn based because I assumed you were talking about that when you were mentioning rpgs, because if you weren't talking about them you were just wrong because playstation has tons of rpgs.",0,6/15/2024,4 PM,0
@gavinbarnett97,"@jack.kennedyy420 that is just completely incorrect. Ff16, p5r started as a playstation exclusive, ghost of tsushima. Even ff7 rebirth which I mentioned earlier. You just proved you couldn't read or do research.",0,6/16/2024,2 AM,0
@gavinbarnett97,"@jack.kennedyy420 ghost of tsushima is, at least it was labeled rpg on the store. And half of the rpgs don't soundtrack because you don't care? That doesn't make sense. You may not like persona but a lot of people do.  And again xbox has a couple of games not on pc but the rest are. That's because microsoft makes pcs. Even game pass is on pc. Just because some halo game and forza aren't on pc doesn't mean everything else ain't. YOUR logic just doesn't make sense.",0,6/16/2024,2 AM,0
@gavinbarnett97,"@jack.kennedyy420 I'm not checking if these games are on pc, because even if they are the only console you can play them on is playstation. These are all rpgs:  Horizon zero dawn, Horizon Forbidden west, bloodeborne, possibly the newer gow games, the original persona 5,  ff16, ff7 remake, and ff7 rebirth. And I understand persona being everywhere because you can get royal anywhere, but ff16 is only on ps5 and pc, and ff7 rebirth is only on ps5 so saying it is avaliable everywhere is just incorrect.",0,6/16/2024,12 PM,0
@ggm_gmr,State of play its PlayStation event right??? Why u care the game who moved to pc­ goofy ahh GAYSTATION,0,5/31/2024,5 AM,0
@ginsburn_the__messenger,Is Astro Boy going to be free or at least budget?,4,5/31/2024,3 AM,0
@graistudio,No Tsushima 2..not even a teaser damn,167,5/31/2024,3 AM,14
@guilhermesondermann,A medíocridade da sony em q o único jogo bom é se animação pra ps5 kkkkkkk,0,6/1/2024,11 PM,0
@gw_395,Where is bloodborne 2 then,12,5/31/2024,3 AM,0
@haploidhomieharman,Xbox finna take the lead lowkey ps been comfortable for too long,0,5/31/2024,4 AM,0
@heliorneto,Hype gigantesco. Jogaso,0,5/31/2024,4 AM,0
@hiimelijahramirez,I like xbox but this dumb pride shi Is making me wany yo switch to Playstation,0,21/06/2024,4 PM,0
@hillstefwingcommandersevennine,Astro Bot VR2?????,9,5/31/2024,3 AM,0
@hugo_legall57,@_angelvaldez_31 you're cute thinking I need to go back in primary school when you're the one who made a mistake but can't admit it,0,5/31/2024,5 PM,0
@hunt.erp33,What’s up xbxox,0,21/06/2024,12 PM,0
@hussein.digital,Awesome🔥🔥,0,6/1/2024,10 AM,0
@i_hotboiandi715,@1lazyeyed_kat hmu,0,21/06/2024,8 PM,0
@i_hotboiandi715,@carlitosfire10 hola hmu,0,21/06/2024,8 PM,0
@i_hotboiandi715,@landokiosk hmu 🤙,0,21/06/2024,8 PM,0
@iamniteshkestwal,Once upon a time State of Play used to be relevant.,0,5/31/2024,5 AM,0
@imdylban,they said until down lol,5,5/31/2024,3 AM,0
@iniciales_p.a_,What a bullshit,0,5/31/2024,3 AM,0
@its_just_bt_,"Oh look more games that nobody asked for or will really care for, oh and that game going on pc aswell as ps5, everyone should know by now that pc players will be forced to link their psn acc and everyone should know that the 180 countries without psn access will be auto banned",0,5/31/2024,3 AM,0
@its_whzly,Major W this year XBOX is so back,5,21/06/2024,5 AM,0
@itz_rebinm,2024 is xbox year💚,0,21/06/2024,7 PM,0
@ivanv,astro bot !,0,6/1/2024,2 AM,0
@j.b.vaofficial,"Gears of War E-day, because I want to see the return of different weapons like sawed off shotgun, breechshot, markza, boosha, tripwire crossbow & dropshot",0,22/06/2024,2 PM,0
@j__s_______,I'm too excited,7,5/31/2024,3 AM,1
@j3ssef3ather,"So, not much, huh?",0,6/2/2024,7 AM,0
@jack.kennedyy420,Wait where's all the sony pony's saying Xbox has no games now?,4,5/31/2024,3 AM,27
@jack.kennedyy420,"Nope, a lot aren't on PC, Forza Motorsport, Halo 5, gears of war, fable, ninja gaiden, lost Odyssey, crackdown. The last true ps exclusive was Astros playroom 😂",0,14/06/2024,2 AM,0
@jack.kennedyy420,"So you're contradicting yourself again lmfao. ""Not all RPGs are turn based"" but you brought up RPGs because you thought I was talking about turn based. And I'm not talking about guns in games for variety. I'm talking about actual games. PlayStation hasnt had an rpg for over a decade. PlayStation has no variety, it's over the shoulder third person shooter #1, over the shoulder action adventure 1 and repeat.",0,16/06/2024,2 AM,0
@jack.kennedyy420,"ngl I forgot about ff16, but it's on PC and coming to Xbox so idc, persona is on all consoles and it's an overrated series, couldn't care. ghost of Tsushima isn't an rpg. I'll give you rebirth, but that's all y'all have is final fantasy RPGs basically. Xbox still has a lot more.",0,16/06/2024,2 AM,0
@jack.kennedyy420,"Lmfao perfect dark, fable, sunset overdrive and stalker alone has more variety and is better than any PlayStation game ever released (except sly) 😂😂",0,15/06/2024,3 AM,0
@jack.kennedyy420,"Ghost of Tsushima is an action adventure game. So the only RPGs are persona and final fantasy, which are pretty much available everywhere. So every rpg on PlayStation is 3rd party and pretty much available elsewhere",0,16/06/2024,3 AM,0
@jack.kennedyy420,"most of them are on PC, so not exclusive 😂",0,13/06/2024,12 PM,0
@jack.kennedyy420,"3 of them are on PC, try again 😂",0,14/06/2024,1 PM,0
@jack.kennedyy420,no point arguing with you you're literally going in circles 😂😂,0,14/06/2024,2 PM,0
@jack.kennedyy420,"lmao ratchet and Clank is a 3d platformer, there's really no variety to it, Xbox had platformers too. And for hack and slash, ninja gaiden, bloodrayne which is arguably better than gow, PlayStation has literally no RPGs lol and the last time they made a first person game was over a decade ago with the flop they call killzone shadow fall. I really don't think you understand the meaning on variety.",0,15/06/2024,3 PM,0
@jack.kennedyy420,"Nobody said anything about guns or turn based lmao and you just contradicted yourself like 3 times, you're obviously a child so you're never gonna admit you're wrong. 😂",0,15/06/2024,4 PM,0
@jacksonpoole13,y'all summer game fest is right around the corner. you really thought they were gonna show their biggest upcoming releases in a half-hour state of play that wasn't even a showcase? get your expectations back in order lmao,121,5/31/2024,5 AM,8
@jacksonpoole13,@kxzeii i feel that! Astro Bot already has my pre-order 😅,0,6/1/2024,1 AM,0
@jairopost,Until Down,4,5/31/2024,2 AM,0
@javiie3412,How much will the Astro Bot cost??? I need it now,0,5/31/2024,10 AM,0
@jax.teller__,Until down?,9,5/31/2024,2 AM,0
@jerry.g__,"Still milking until dawn Jesus Christ, make the silent hill game off of P.T",78,5/31/2024,2 AM,1
@jollirum,"@crackkennedy massive troll account, everything you say is invalid. You sh¡tbird",0,6/2/2024,5 AM,0
@jonscotberry,@leafs_fan_1990 everying xbox coming to PS. Lol. No one cares tho cuz everything except hifi rush and Pentament is 🗑️,0,6/2/2024,6 PM,0
@jordan.sibleey,"monster hunter is so far away, where's persona",0,5/31/2024,7 AM,0
@josephutchins,alright cool so i didn't miss anything,8,5/31/2024,3 AM,0
@josh.talbot_,"So until dawn and SH2 are the only remastered (rebuilt), could they both sell for like $70 or cheaper, at least?",4,5/31/2024,3 AM,0
@kabiri_pedram,Loved it😍😍,0,02/06/2024,5 AM,0
@kabiri_pedram,Awesome😍😍,0,6/2/2024,5 AM,0
@kaicenatbiggestfan_6,@crackkennedy Bro thinks Xbox is better 😂,0,5/31/2024,5 PM,0
@kanye_de_soliyork_69,No bloodborne for pc?,13,5/31/2024,2 AM,0
@kayleneihrig911,Beauty..,4,5/31/2024,2 AM,0
@kellercarson,No Socom. Lame..,0,5/31/2024,7 AM,0
@kh.s.mmm,GAYBOX,0,22/06/2024,4 PM,0
@kh3008a,Can you give me playstation5 please 🥹,0,6/1/2024,1 PM,0
@khalilbarred,ASTRO BOT has literally saved the whole SOP .. solid 2/10 that's all. (your future is really bad),0,5/31/2024,4 AM,0
@killamonjaroct,Astrobot with no psvr2 is peanut butter with no jelly. Dry AF.,7,5/31/2024,3 AM,1
@kiran__ak_25,@_s_i_l_e_n_t_h_i_l_l_ it's an emotion🙌🥲,0,6/1/2024,2 AM,0
@klassikmike_yt,We live in times that announcement doesn’t excite me anymore,0,6/4/2024,3 PM,0
@koeckb84,What about the game Babysteps? No news?,0,5/31/2024,4 AM,0
@ladarius_musonda,It's not really PlayStation fault it's the COMPANIES not doing ANYTHING,0,5/31/2024,6 AM,0
@laroyracer,State of play was boring,90,5/31/2024,3 AM,1
@leafs_fan_1990,XBOX BETTER,4,5/31/2024,2 AM,5
@leandromna,Astro ❤️,0,6/1/2024,9 AM,0
@leftfortherain,"Silent hill 2 is gonna flop, thankfully I have the original ps2 game on disc prices are gonna fly up when remake releases",0,6/1/2024,11 AM,0
@lenlenarts,I liked many of the games shown at this event,0,5/31/2024,3 AM,0
@leobdy__,Well Done👏,0,21/06/2024,12 AM,0
@leozug,"Besides Astro, all of these are lame. Video games used to be fun.",0,5/31/2024,6 AM,0
@libertinob,Bro I can’t wait for this game,0,6/1/2024,5 AM,0
@lightstar_69,Mache erst das tolle erste Spiel noch fertig und das Neue steht schon suf meiner Liste ❤️,0,6/13/2024,11 AM,0
@lil_lou.lou,"@crackkennedy ""they never said they were inferior, they just said that they can't win"" bruh😂",0,6/1/2024,5 AM,0
@lonew0lfmode,This was it?,0,5/31/2024,8 AM,0
@lucaj1395,It was a good damn demo played the shit outta that for the first week of owning ps5,0,6/4/2024,1 AM,0
@lucaj1395,@cris_torres_x it's always like a year or two after it's on PlayStation at that point no one cares anymore,0,6/4/2024,1 AM,0
@madi_zhexenbayev,Add KAZAKHSTAN to PSN,0,5/31/2024,5 AM,0
@mann.o.war,Path of exile 2,0,5/31/2024,4 AM,0
@marcus_aurus_specklesteev,A NEW ASTROBOT GAME? YES!,0,6/1/2024,5 PM,0
@marcushauser23,eveeybody was cooking this year. ESPECIALLY the coalition,0,22/06/2024,10 AM,0
@markzeddy,Metal Gear,0,22/06/2024,3 PM,0
@mason_alexander1204,Behemoth is gonna be insane,4,5/31/2024,3 AM,0
@matsaints0,Is astro's game going to be free?,0,6/2/2024,12 AM,0
@mattpowerglove,Path of Exile 2 so good we got it twice,0,5/31/2024,4 AM,0
@mauriciokorama,LETS GOOO RAGNAROK FOR PC,0,6/1/2024,2 AM,0
@meysam1989k22,Astro bot Psvr2 please,3,5/31/2024,11 PM,0
@milan.bhai123,God of War is coming to PC... I'm so excited,0,5/31/2024,9 AM,0
@mister.ossom,Silent Hill 2,0,5/31/2024,8 AM,0
@misterplay_,The playstation mascot,0,6/2/2024,9 AM,0
@mohammadmlp88,Ps4,0,06/06/2024,12 PM,0
@molinari_marco_82,Olso for psvr2?,0,6/5/2024,10 AM,0
@morkman_handhamb,Can't believe bloodborne 2 finally got announced,0,5/31/2024,3 AM,0
@moshtabi,it was leak ahead of time,0,5/31/2024,9 AM,0
@mouth_for_war,Y'all gonna remake everything except Bloodborne,8,5/31/2024,3 AM,3
@mr.rogersneighborrhood,Where's Jet Set Radio?,1,21/06/2024,11 PM,0
@mr.tacituskilgore45,19th SEPTEMBER,5,5/31/2024,3 AM,0
@mrragecagee,"Confused, is this going to be free? Like just an update to the first ASTRO, or it's own standalone game now? 70$ out the rip type game.",0,01/06/2024,9 PM,0
@mts_418,Can you guys go back to letting us keep our old clips without having to to save them,0,21/06/2024,4 AM,0
@museum_of_bullshit,Still no bloodborne 2 or for pc or even a remasterâ€¦,1,5/31/2024,3 AM,0
@mxpxboy,ZzzzZzzz…bring back E3. The pandemic has been over. Stop being lazy and using that as an excuse for mediocrity.,0,6/1/2024,12 PM,0
@mxxl.03,Did you mean Until Dawn? This the 2nd time I caught PlayStation misspelling something,0,5/31/2024,4 AM,0
@nazandrey,"Sony why don't you want my money? I want to buy the game on Steam, but I can't",0,5/31/2024,7 AM,0
@ncaftpss_x,You fgs should have put men's mental health month you child pred supporters,0,21/06/2024,4 AM,0
@necrodrawing,FINALLY a release date for SH2,0,5/31/2024,9 AM,0
@nerd_enough,Why am I most hyped for Astro Bot and Silent Hill,1,5/31/2024,3 AM,0
@neshasvibes,Love it!,5,5/31/2024,2 AM,0
@nick_also,Until Down,4,5/31/2024,3 AM,0
@nick_also,Ight I get the COD point but let’s not disrespect God of War cause I also love that lol,0,5/31/2024,6 PM,0
@nick_also,You couldn’t be more wrong,0,6/1/2024,7 AM,0
@north1paw,Astro Bot sequel? You son of a bitch I'm in!,3,5/31/2024,2 AM,0
@noseferatu4,Hell yeah Astro's playroom bby,0,5/31/2024,4 AM,0
@oesvictor,I'm afraid that Sony turns itself in a company that doesn't hear its customers and just deliver to us exactly the opposite from what we want.,0,5/31/2024,4 AM,0
@oli.ps28,"@s_kibby The only thing they could be compared to a little bit is God Eater. Monster Hunter is its own thing really. A game called Wild Hearts dropped some time back, you could say that game is a MH clone.",0,5/31/2024,11 PM,0
@oliveiramatiaspaulo,Best thing about this horrible event,4,5/31/2024,2 AM,0
@olivier.wmv,Carried that mid ass showcase,45,5/31/2024,2 AM,5
@onurevsn,Thats exactly why half of the users still using ps4/ps4pro lol,0,5/31/2024,3 AM,0
@oscarwinnerseanpenn,Ya'll remaking the wrong games!! Ain't nobody nibblin for that!!,5,5/31/2024,2 AM,0
@overqualifications,@1madpanda You know Phil Spencer himself said Xbox lost this generation right? LOL. Go ahead and argue against the CEO who has all the stats and connections that you don’t have.,0,6/2/2024,9 PM,0
@owengranger,Where’s psvr2 support???,0,6/1/2024,7 PM,0
@patrickwerduch,Astro 🙌,0,6/1/2024,10 AM,0
@pax_romana94,This state of play was so mid. You might as well not have organised it at all.,0,5/31/2024,7 AM,0
@pd__pradum777,Cricket 24 ?,0,22/06/2024,5 AM,0
@peymanchegini2,This game love girls becuse cute chorocter😍😂😂😂,0,6/1/2024,12 PM,0
@philip_hardin,Astro carrying,0,5/31/2024,10 AM,0
@piras9798,Another trash sop,0,5/31/2024,5 AM,0
@pistol.poet,GOW coming to PC ! Yes,0,5/31/2024,6 AM,0
@plo0pa,silent hill 2 is gon be ass,0,6/1/2024,4 PM,0
@psn_rockydmise,PSVR 2 support please,7,5/31/2024,3 AM,0
@quite_possibly_jaxon,@industryflex ngl I ain't want 95% of those,2,21/06/2024,7 AM,0
@razgrizjl,The only game worth watching,0,5/31/2024,3 AM,0
@reny.gat,Silent Hill and Where Winds Meet for us. Then Astro Bot for Shani @daniellecalpo 😆,0,6/1/2024,12 PM,0
@revenge_of_sam_the_man,Was that Cole Macgrath on the left side at the part where all the avatars surround ASTRO?,4,5/31/2024,3 AM,0
@reyn.rodriguez18,I just need my Silent Hill 2,0,5/31/2024,11 PM,0
@rick86mars,"Silent Hill 2 was a shocker of ugliness! Sorry, but it was really bad!",0,5/31/2024,10 AM,0
@riley.radio,"Nothing worth anyone's time except monster hunter. Maybe do a showcase and announce some first party games, there are none outside of Wolverine announced",5,5/31/2024,3 AM,6
@robledodidoff,Astrobot for PSVR2 Pleaseeeeeeeee! ,10,5/31/2024,3 AM,0
@rose_otl_,Playstation got a nice line up coming 🔥🔥🔥,0,6/2/2024,3 PM,0
@s_kibby,Crazy that the only game I'm looking forward to is Astrobot,258,5/31/2024,3 AM,6
@sandyachmadr,They spelled their own game wrong,0,5/31/2024,4 AM,0
@scamanderous,"I mean, my expectations were low, but HOLY F*CK",0,5/31/2024,8 AM,0
@schocki870_vr,What are you doing? Very disappointing that it's not coming out in VR.Please for PSVR2,0,5/31/2024,8 AM,0
@semih_dk02,Marvel spider-mam pleasee😢😢,0,21/06/2024,9 PM,0
@shamelessdeviant,It says Until Down in the description,4,5/31/2024,3 AM,0
@shikuzo_,@crackkennedy yo fridge got zero games jus like ps5 gang be humble,0,6/1/2024,1 PM,0
@shimshawcramtime,Was hoping for some news on light no fire,0,5/31/2024,4 AM,0
@shivam3vedi,"Expected a Ghost of Tsushima 2 teaser but no worries, Iâ€™m happy with an Astro Bot game for now",4,5/31/2024,5 AM,0
@shrouded_blackness,@r_27goat Bro el astro bot😍,0,06/06/2024,2 AM,0
@sir_bigfudge,"And this why I still have a ps4, ps5 is useless at the moment",0,5/31/2024,6 AM,0
@sir_bingjamin,"Sad there was no little devil inside footage, that game has been in development for years now",0,5/31/2024,7 AM,0
@sir_bingjamin,How much will Astro Bot cost?,0,5/31/2024,7 AM,0
@sluttyfuhrer,I'm so excited for Monster Hunter Wilds and Dynasty Warriors Origins man,0,5/31/2024,8 AM,0
@smokedship,So just boring sh*t,0,5/31/2024,6 AM,0
@smokedship,Astro Bot was the only good thing here.,0,5/31/2024,6 AM,0
@solid_n8,Based,0,5/31/2024,5 AM,0
@sorabh45,Bad,0,5/31/2024,9 AM,0
@spellboundeaded,The until dawn remaster looks so good!! Very exited definitly looks like there are new scenes in it to,0,5/31/2024,8 AM,0
@spencerj486001,i wonder if astro will bw free dlc,0,5/31/2024,7 AM,0
@sr_romulo,MAKE A NEW APE ESCAPE,1,5/31/2024,3 AM,0
@steph_lazo,don't even bother with a ps5 pro if it won't be ultra wide compatible,1,5/31/2024,3 AM,0
